time,loop,owner,total_private_mb,total_working_set_mb,process_count,bot_count,game_count,trash_count
2026-04-29T02:14:48.7577158+02:00,65,"acc1",862.9,1439.91,16,1,1,0
2026-04-29T02:15:34.4565220+02:00,69,"acc3",200.05,552.05,14,0,0,0
2026-04-29T02:15:34.4585264+02:00,69,"acc2",894.85,1495.61,16,1,1,0
2026-04-29T02:15:34.4605327+02:00,69,"acc4",202.8,555.38,14,0,0,0
2026-04-29T02:15:34.4615087+02:00,69,"acc1",815.91,1393.12,16,1,1,0
2026-04-29T02:16:19.1547951+02:00,73,"acc3",200.05,552.05,14,0,0,0
2026-04-29T02:16:19.1559248+02:00,73,"acc2",901.99,1502.18,16,1,1,0
2026-04-29T02:16:19.1579196+02:00,73,"acc4",202.8,555.38,14,0,0,0
2026-04-29T02:16:19.1599123+02:00,73,"acc1",825.22,1402.73,16,1,1,0
2026-04-29T02:17:04.2554045+02:00,77,"acc3",200,552.03,14,0,0,0
2026-04-29T02:17:04.2573992+02:00,77,"acc2",870.41,1470.63,16,1,1,0
2026-04-29T02:17:04.2583954+02:00,77,"acc4",202.75,555.36,14,0,0,0
2026-04-29T02:17:04.2603905+02:00,77,"acc1",856.32,1433.26,16,1,1,0
2026-04-29T02:17:53.1348710+02:00,81,"acc3",200.95,553.86,14,0,0,0
2026-04-29T02:17:53.1368658+02:00,81,"acc2",938.06,1536.34,16,1,1,0
2026-04-29T02:17:53.1378619+02:00,81,"acc4",203.55,557.02,14,0,0,0
2026-04-29T02:17:53.1378619+02:00,81,"acc1",815.93,1394.24,16,1,1,0
2026-04-29T02:18:39.5885779+02:00,85,"acc3",200.7,553.61,14,0,0,0
2026-04-29T02:18:39.5890894+02:00,85,"acc2",934.8,1535.21,16,1,1,0
2026-04-29T02:18:39.5900828+02:00,85,"acc4",203.37,556.83,14,0,0,0
2026-04-29T02:18:39.5910798+02:00,85,"acc1",894.83,1472.82,16,1,1,0
2026-04-29T02:19:24.9133622+02:00,89,"acc3",200.2,553.39,14,0,0,0
2026-04-29T02:19:24.9155283+02:00,89,"acc2",1023.62,1624.54,16,1,1,0
2026-04-29T02:19:24.9165260+02:00,89,"acc4",202.94,556.61,14,0,0,0
2026-04-29T02:19:24.9165260+02:00,89,"acc1",860.25,1438.22,16,1,1,0
2026-04-29T02:20:09.2757071+02:00,93,"acc3",200.42,553.46,14,0,0,0
2026-04-29T02:20:09.2767035+02:00,93,"acc2",991.02,1590.64,16,1,1,0
2026-04-29T02:20:09.2777010+02:00,93,"acc4",202.91,556.64,14,0,0,0
2026-04-29T02:20:09.2777010+02:00,93,"acc1",974.71,1552.7,16,1,1,0
2026-04-29T02:20:56.5530298+02:00,97,"acc3",200.83,553.63,14,0,0,0
2026-04-29T02:20:56.5530298+02:00,97,"acc2",973.34,1571.18,16,1,1,0
2026-04-29T02:20:56.5550617+02:00,97,"acc4",203.23,556.79,14,0,0,0
2026-04-29T02:20:56.5580476+02:00,97,"acc1",941.62,1519.14,16,1,1,0
2026-04-29T02:21:43.2814432+02:00,101,"acc3",200.7,553.61,14,0,0,0
2026-04-29T02:21:43.2824405+02:00,101,"acc2",1005.11,1604.64,16,1,1,0
2026-04-29T02:21:43.2834401+02:00,101,"acc4",203.16,556.77,14,0,0,0
2026-04-29T02:21:43.2846236+02:00,101,"acc1",972.28,1549.75,16,1,1,0
2026-04-29T02:22:28.2253343+02:00,105,"acc3",200,553.4,14,0,0,0
2026-04-29T02:22:28.2283205+02:00,105,"acc2",968.49,1569.61,16,1,1,0
2026-04-29T02:22:28.2303143+02:00,105,"acc4",202.58,556.6,14,0,0,0
2026-04-29T02:22:28.2323085+02:00,105,"acc1",998.42,1575.86,16,1,1,0
2026-04-29T02:23:11.7889394+02:00,109,"acc3",200.12,553.42,14,0,0,0
2026-04-29T02:23:11.7899382+02:00,109,"acc2",878.22,1479.97,16,1,1,0
2026-04-29T02:23:11.7909339+02:00,109,"acc4",202.69,556.63,14,0,0,0
2026-04-29T02:23:11.7919307+02:00,109,"acc1",986.69,1560.67,16,1,1,0
2026-04-29T02:23:56.6078705+02:00,113,"acc3",200.12,553.42,14,0,0,0
2026-04-29T02:23:56.6088672+02:00,113,"acc2",898.01,1499.48,16,1,1,0
2026-04-29T02:23:56.6098644+02:00,113,"acc4",202.69,556.63,14,0,0,0
2026-04-29T02:23:56.6118571+02:00,113,"acc1",1000.36,1578.45,16,1,1,0
2026-04-29T02:24:40.3090592+02:00,117,"acc3",200.24,553.47,14,0,0,0
2026-04-29T02:24:40.3100579+02:00,117,"acc2",925.19,1525.93,16,1,1,0
2026-04-29T02:24:40.3100579+02:00,117,"acc4",202.76,556.68,14,0,0,0
2026-04-29T02:24:40.3110546+02:00,117,"acc1",931.8,1509.61,16,1,1,0
2026-04-29T02:25:24.6183379+02:00,121,"acc3",200.33,553.55,14,0,0,0
2026-04-29T02:25:24.6193361+02:00,121,"acc2",867.38,1469.13,16,1,1,0
2026-04-29T02:25:24.6203333+02:00,121,"acc4",202.81,556.73,14,0,0,0
2026-04-29T02:25:24.6203333+02:00,121,"acc1",1019.24,1595.99,16,1,1,0
2026-04-29T02:26:09.0134804+02:00,125,"acc3",200.14,553.41,14,0,0,0
2026-04-29T02:26:09.0144737+02:00,125,"acc2",883.71,1485.27,16,1,1,0
2026-04-29T02:26:09.0194606+02:00,125,"acc4",202.67,556.59,14,0,0,0
2026-04-29T02:26:09.0214556+02:00,125,"acc1",863.53,1440.08,16,1,1,0
2026-04-29T02:26:54.3241505+02:00,129,"acc3",200.2,553.46,14,0,0,0
2026-04-29T02:26:54.3271402+02:00,129,"acc2",886.43,1488.1,16,1,1,0
2026-04-29T02:26:54.3281390+02:00,129,"acc4",202.69,556.65,14,0,0,0
2026-04-29T02:26:54.3311342+02:00,129,"acc1",878.55,1456.34,16,1,1,0
2026-04-29T02:27:39.8417154+02:00,133,"acc3",200.41,552.76,14,0,0,0
2026-04-29T02:27:39.8433436+02:00,133,"acc2",896.35,1497.18,16,1,1,0
2026-04-29T02:27:39.8444717+02:00,133,"acc4",202.89,555.92,14,0,0,0
2026-04-29T02:27:39.8454684+02:00,133,"acc1",885.98,1462.77,16,1,1,0
2026-04-29T02:28:23.8361072+02:00,137,"acc3",200.87,553.66,14,0,0,0
2026-04-29T02:28:23.8371023+02:00,137,"acc2",907.91,1508.91,16,1,1,0
2026-04-29T02:28:23.8390812+02:00,137,"acc4",203.38,556.8,14,0,0,0
2026-04-29T02:28:23.8400780+02:00,137,"acc1",478.02,902.85,16,1,1,0
2026-04-29T02:29:06.7868493+02:00,141,"acc3",200.48,553.45,14,0,0,0
2026-04-29T02:29:06.7878462+02:00,141,"acc2",268.71,665.11,15,1,0,0
2026-04-29T02:29:06.7888442+02:00,141,"acc4",203.16,556.68,14,0,0,0
2026-04-29T02:29:06.7908388+02:00,141,"acc1",495.83,922.52,16,1,1,0
2026-04-29T02:29:54.6307710+02:00,145,"acc3",200.87,553.72,14,0,0,0
2026-04-29T02:29:54.6327721+02:00,145,"acc2",700.01,1297.98,16,1,1,0
2026-04-29T02:29:54.6347610+02:00,145,"acc4",203.5,556.91,14,0,0,0
2026-04-29T02:29:54.6357576+02:00,145,"acc1",695.65,1296.88,16,1,1,0
2026-04-29T02:30:40.7895973+02:00,149,"acc3",200.35,553.56,14,0,0,0
2026-04-29T02:30:40.7915752+02:00,149,"acc2",670.7,1273.75,16,1,1,0
2026-04-29T02:30:40.7945674+02:00,149,"acc4",202.97,556.76,14,0,0,0
2026-04-29T02:30:40.7975579+02:00,149,"acc1",687.42,1288.83,16,1,1,0
2026-04-29T02:31:25.7499302+02:00,153,"acc3",200.12,553.46,14,0,0,0
2026-04-29T02:31:25.7509282+02:00,153,"acc2",701.3,1303.76,16,1,1,0
2026-04-29T02:31:25.7519270+02:00,153,"acc4",202.72,556.67,14,0,0,0
2026-04-29T02:31:25.7539311+02:00,153,"acc1",707.78,1300.08,16,1,1,0
2026-04-29T02:32:11.2144637+02:00,157,"acc3",199.61,553.04,14,0,0,0
2026-04-29T02:32:11.2154603+02:00,157,"acc2",730.92,1335.01,16,1,1,0
2026-04-29T02:32:11.2164614+02:00,157,"acc4",202.31,556.34,14,0,0,0
2026-04-29T02:32:11.2184522+02:00,157,"acc1",676.38,1277.56,16,1,1,0
2026-04-29T02:32:56.1329348+02:00,161,"acc3",199.82,553.09,14,0,0,0
2026-04-29T02:32:56.1339326+02:00,161,"acc2",697.23,1300.65,16,1,1,0
2026-04-29T02:32:56.1349298+02:00,161,"acc4",202.5,556.35,14,0,0,0
2026-04-29T02:32:56.1359275+02:00,161,"acc1",702.8,1298.95,16,1,1,0
2026-04-29T02:33:41.6062180+02:00,165,"acc3",200.01,553.17,14,0,0,0
2026-04-29T02:33:41.6092090+02:00,165,"acc2",697.81,1301.28,16,1,1,0
2026-04-29T02:33:41.6112040+02:00,165,"acc4",202.63,556.41,14,0,0,0
2026-04-29T02:33:41.6132073+02:00,165,"acc1",720.18,1321.51,16,1,1,0
2026-04-29T02:34:25.9220958+02:00,169,"acc3",199.8,553.08,14,0,0,0
2026-04-29T02:34:25.9240914+02:00,169,"acc2",702.3,1305.67,16,1,1,0
2026-04-29T02:34:25.9250901+02:00,169,"acc4",202.52,556.37,14,0,0,0
2026-04-29T02:34:25.9260873+02:00,169,"acc1",714.13,1315.99,16,1,1,0
2026-04-29T02:35:11.0837429+02:00,173,"acc3",199.8,553.08,14,0,0,0
2026-04-29T02:35:11.0857365+02:00,173,"acc2",725.72,1329.05,16,1,1,0
2026-04-29T02:35:11.0867362+02:00,173,"acc4",202.5,556.36,14,0,0,0
2026-04-29T02:35:11.0887280+02:00,173,"acc1",741.39,1342.97,16,1,1,0
2026-04-29T02:35:56.2331807+02:00,177,"acc3",199.99,553.25,14,0,0,0
2026-04-29T02:35:56.2351801+02:00,177,"acc2",727.48,1329.32,16,1,1,0
2026-04-29T02:35:56.2368804+02:00,177,"acc4",202.71,556.52,14,0,0,0
2026-04-29T02:35:56.2397100+02:00,177,"acc1",748.47,1350.04,16,1,1,0
2026-04-29T02:36:40.6739671+02:00,181,"acc3",199.75,553.15,14,0,0,0
2026-04-29T02:36:40.6746525+02:00,181,"acc2",736.93,1340.5,16,1,1,0
2026-04-29T02:36:40.6761935+02:00,181,"acc4",202.57,556.45,14,0,0,0
2026-04-29T02:36:40.6771803+02:00,181,"acc1",709.89,1311.91,16,1,1,0
