time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","searchapp",15896,0,91.14,168.97,34,1052,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","runtimebroker",15940,0,4.27,27.15,3,309,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","runtimebroker",16152,0,7.2,29.7,12,490,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","startmenuexperiencehost",16280,0,25.55,79.39,9,643,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","runtimebroker",7632,0,4.34,27.21,3,311,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","searchapp",16484,0,92,169.55,35,1055,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","runtimebroker",16720,0,7.19,29.76,11,490,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","searchapp",17000,0,91.61,169.52,35,1057,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","runtimebroker",17272,0,7.26,29.77,12,491,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","runtimebroker",17440,0,2.45,13.56,3,231,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","runtimebroker",17760,0,2.46,13.56,3,231,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","runtimebroker",17996,0,2.46,13.58,3,232,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","runtimebroker",18140,0,2.46,13.68,3,232,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","rtkauduservice64",7324,0,2.25,10.95,7,285,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","rtkauduservice64",17676,0,2.24,10.92,7,285,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","rtkauduservice64",17644,0,2.2,10.67,7,284,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","rtkauduservice64",2224,0,2.17,10.68,7,284,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","shellexperiencehost",4204,0,16.52,61.82,11,601,"Normal","True","kill_acc_shell_trash"
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","runtimebroker",8724,0,2.63,16.59,5,205,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","shellexperiencehost",6588,0,16.47,61.75,11,601,"Normal","True","kill_acc_shell_trash"
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","runtimebroker",12508,0,2.73,16.64,6,205,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","shellexperiencehost",14748,0,16.34,61.61,11,601,"Normal","True","kill_acc_shell_trash"
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","runtimebroker",14764,0,2.67,16.62,5,205,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","shellexperiencehost",16648,0,16.47,61.75,11,601,"Normal","True","kill_acc_shell_trash"
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","runtimebroker",16508,0,2.68,16.63,5,205,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","powershell",17964,0,73.3,85.68,29,644,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"NT AUTHORITY\SYSTEM","rustdesk",3668,0.01,4.45,15.31,5,207,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"NT AUTHORITY\SYSTEM","tailscaled",4272,0.01,56.54,25.74,24,467,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"NT AUTHORITY\SYSTEM","rustdesk",4828,0.19,173.39,130.63,76,672,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"NT AUTHORITY\SYSTEM","tailscaled",5876,0,79.39,56.89,27,680,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","explorer",6488,0.11,63.63,147.72,73,2662,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","rustdesk",9820,0.03,6.09,17.78,15,188,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","tailscale-ipn",9896,0.01,57.84,31.29,23,535,"AboveNormal","True",""
