time,loop,owner,total_private_mb,total_working_set_mb,process_count,bot_count,game_count,trash_count
2026-04-28T23:07:40.2436272+02:00,1,"acc3",172.89,438.4,6,0,0,5
2026-04-28T23:07:40.2476183+02:00,1,"acc2",172.85,437.86,6,0,0,5
2026-04-28T23:07:40.2486258+02:00,1,"acc4",172.72,438.36,6,0,0,5
2026-04-28T23:07:40.2486258+02:00,1,"acc1",170,431.06,6,0,0,5
2026-04-28T23:09:09.0540323+02:00,1,"acc3",189.35,496.4,8,0,0,7
2026-04-28T23:09:09.0570239+02:00,1,"acc2",189.37,495.91,8,0,0,7
2026-04-28T23:09:09.0580213+02:00,1,"acc4",189.09,496.33,8,0,0,7
2026-04-28T23:09:09.0633001+02:00,1,"acc1",186.84,489.95,8,0,0,7
